STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,2014-01-11,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",127,",,W,2400",0.0,",,W,",0.0,",,W,",144.0,",,W",28.0,",,W",,,,,94.0,",,W",10058.0,",,W",10037.0,",,W",100.0,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,91.0,",,W",83.0,",,W",96.0,",,W",,,,,,,,,180.0,",,W",170.0,",,W",,,,,,,,,,,76.0,",,W",125.0,",,W",,,,,1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-12,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",13,",,W,2400",0.0,",,W,",0.0,",,W,",122.0,",,W",33.0,",,W",,,,,-22.0,",,W",10081.0,",,W",10007.0,",,W",33.0,",,W",37.0,",,W",,,,,,,,,,,,,,,,,,,,,53.0,",,W",44.0,",,W",77.0,",,W",,,,,,,,,290.0,",,W",290.0,",,W",,,,,,,,,,,89.0,",,W",139.0,",,W",,,,,1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-13,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",106.0,",,W",28.0,",,W",,,,,-6.0,",,W",10173.0,",,W",10122.0,",,W",39.0,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,60.0,",,W",52.0,",,W",67.0,",,W",,,,,,,,,180.0,",,W",170.0,",,W",,,,,,,,,,,63.0,",,W",107.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-14,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",97,",,W,2400",0.0,",,W,",0.0,",,W,",111.0,",,W",67.0,",,W",,,,,50.0,",,W",10088.0,",,W",10037.0,",,W",72.0,",,W",22.0,",,W",,,,,,,,,,,,,,,,,,,,,79.0,",,W",59.0,",,W",90.0,",,W",,,,,,,,,230.0,",,W",250.0,",,W",,,,,,,,,,,58.0,",,W",98.0,",,W",,,,,1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-15,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",83.0,",,W",39.0,",,W",,,,,,,,,,,,,13.0,",,W",,,,,,,,,,,,,,,,,,,,,85.0,",,W",66.0,",,W",93.0,",,W",,,,,,,,,160.0,",,W",190.0,",,W",,,,,,,,,,,54.0,",,W",76.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-16,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",56.0,",,W",22.0,",,W",,,,,,,,,,,,,18.0,",,W",,,,,,,,,,,,,,,,,,,,,72.0,",,W",61.0,",,W",93.0,",,W",,,,,,,,,10.0,",,W",50.0,",,W",,,,,,,,,,,45.0,",,W",63.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-17,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",67.0,",,W",6.0,",,W",,,,,,,,,,,,,16.0,",,W",,,,,,,,,,,,,,,,,,,,,53.0,",,W",46.0,",,W",76.0,",,W",,,,,,,,,170.0,",,W",180.0,",,W",,,,,,,,,,,54.0,",,W",85.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-18,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",18,",,W,2400",0.0,"T,,W,",0.0,",,W,",50.0,",,W",-16.0,",,W",,,,,,,,,,,,,32.0,",,W",,,,,,,,,,,,,,,,,,,,,70.0,",,W",56.0,",,W",100.0,",,W",,,,,,,,,290.0,",,W",300.0,",,W",,,,,,,,,,,67.0,",,W",112.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-19,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",33.0,",,W",-43.0,",,W",,,,,,,,,,,,,33.0,",,W",,,,,,,,,,,,,,,,,,,,,56.0,",,W",44.0,",,W",74.0,",,W",,,,,,,,,260.0,",,W",250.0,",,W",,,,,,,,,,,94.0,",,W",152.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-20,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",0.0,",,W,",78.0,",,W",-5.0,",,W",,,,,,,,,,,,,33.0,",,W",,,,,,,,,,,,,,,,,,,,,50.0,",,W",39.0,",,W",65.0,",,W",,,,,,,,,270.0,",,W",280.0,",,W",,,,,,,,,,,76.0,",,W",134.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
